Date,Close/Last,Volume,Open,High,Low
2024-09-06,665.77,2991265.0,681.86,683.1518,662.34
2024-09-05,683.62,1810072.0,673.14,687.31,671.86
2024-09-04,679.68,1785337.0,673.31,684.65,673.06
2024-09-03,675.32,3160964.0,700.1,703.86,671.01
2024-08-30,701.35,3266723.0,700.36,701.86,688.16
2024-08-29,692.48,2186974.0,690.0,699.8,686.07
2024-08-28,683.84,2430583.0,695.83,696.67,677.1
2024-08-27,695.72,3164878.0,688.53,707.89,686.92
2024-08-26,688.44,1354154.0,687.26,690.59,681.6376
2024-08-23,686.73,2354450.0,694.13,696.07,678.63
2024-08-22,688.96,2729389.0,691.0,701.5,686.24
2024-08-21,697.12,2235343.0,697.0,701.0,691.38
2024-08-20,698.54,4813118.0,688.86,711.33,688.245
2024-08-19,688.53,3016227.0,674.07,688.84,672.91
2024-08-16,674.07,3511014.0,669.43,680.23,665.36
2024-08-15,663.22,3210173.0,668.49,673.19,659.8
2024-08-14,661.68,4014344.0,648.7,663.57,648.7
2024-08-13,648.02,2639571.0,638.56,650.97,635.5
2024-08-12,633.14,2331712.0,631.0,639.0,627.07
2024-08-09,633.94,1980836.0,622.99,636.62,622.99
2024-08-08,630.35,3283542.0,621.99,632.29,616.02
2024-08-07,611.48,3187791.0,616.065,632.0,610.64
2024-08-06,609.57,4319057.0,600.62,622.45,600.62
2024-08-05,598.55,4044235.0,587.04,604.5627,587.04
2024-08-02,613.64,3523003.0,620.98,625.27,608.35
2024-08-01,624.85,3720573.0,629.25,646.7099,617.61
2024-07-31,628.35,3134877.0,626.57,633.5999,622.58
2024-07-30,622.58,3496609.0,630.17,634.69,617.0001
2024-07-29,626.96,2400537.0,634.61,634.61,623.93
2024-07-26,631.37,3120659.0,645.0,646.9899,629.77
2024-07-25,634.09,4554539.0,641.0,649.98,621.7001
2024-07-24,635.99,4888163.0,635.74,652.42,632.6744
2024-07-23,642.76,2463579.0,647.5,649.91,641.0001
2024-07-22,647.5,5219077.0,639.5,656.29,632.6
2024-07-19,633.34,9815631.0,660.64,678.97,629.1201
2024-07-18,643.04,7575763.0,656.6,657.0395,639.165
2024-07-17,647.46,4017277.0,650.0,650.45,639.47
2024-07-16,656.32,2685706.0,661.8,663.675,649.13
2024-07-15,656.45,3208763.0,647.5,667.54,646.63
2024-07-12,647.6,3355197.0,652.75,655.92,643.7075
2024-07-11,652.75,5111928.0,672.485,672.485,647.44
2024-07-10,677.65,2651928.0,685.02,687.22,673.16
2024-07-09,685.74,2599474.0,690.0,695.27,684.72
2024-07-08,685.74,1930786.0,687.0,688.86,681.485
2024-07-05,690.65,2659065.0,682.51,697.49,677.23
2024-07-03,682.51,1403545.0,677.48,683.7499,675.5
2024-07-02,679.58,2411426.0,673.54,681.74,670.07
2024-07-01,673.61,2212826.0,674.89,675.02,663.78
2024-06-28,674.88,3412391.0,679.0,687.0,673.08
2024-06-27,684.34,2404849.0,679.35,688.57,678.14
2024-06-26,677.69,3545815.0,672.41,682.96,670.02
2024-06-25,672.41,2278768.0,673.44,673.665,662.3
2024-06-24,669.02,3916335.0,685.0,685.5,664.5
2024-06-21,686.12,4557086.0,683.26,686.9,678.1
2024-06-20,679.03,2585089.0,681.8,689.88,673.7203
2024-06-18,685.67,2943775.0,675.63,687.06,674.64
2024-06-17,675.83,3631184.0,669.11,682.7099,665.1101
2024-06-14,669.38,4447116.0,655.05,675.58,652.64
2024-06-13,653.26,1863587.0,644.0,655.25,642.35
2024-06-12,650.06,2094381.0,652.21,655.78,643.11
2024-06-11,648.55,2167417.0,640.72,650.19,640.52
2024-06-10,644.5,2066759.0,641.01,644.79,635.59
2024-06-07,641.47,1876631.0,649.38,650.4,640.2401
2024-06-06,648.52,2466664.0,644.89,657.99,644.2368
2024-06-05,650.27,2682614.0,634.02,651.25,628.25
2024-06-04,631.62,3008151.0,633.78,635.2299,626.44
2024-06-03,633.79,2323506.0,645.215,646.78,627.27
2024-05-31,641.62,4071023.0,644.01,648.58,628.3
2024-05-30,647.66,2393354.0,653.52,656.4899,644.73
2024-05-29,654.62,3695935.0,644.13,664.25,643.89
2024-05-28,649.0,2609451.0,647.05,649.75,643.03
2024-05-24,646.75,2615260.0,639.4,652.0,637.6
2024-05-23,635.67,2313939.0,642.34,642.71,630.0
2024-05-22,640.47,2176174.0,647.14,649.25,638.12
2024-05-21,650.61,2920155.0,636.76,650.88,634.22
2024-05-20,640.82,3857853.0,620.4,644.37,619.52
2024-05-17,621.1,3782708.0,617.0,625.79,614.7141
2024-05-16,610.52,3056350.0,615.75,618.34,609.09
2024-05-15,613.52,5670607.0,618.57,624.1,609.1
2024-05-14,613.66,2792358.0,615.17,621.48,608.4
2024-05-13,616.59,2086197.0,614.3,618.219,606.83
2024-05-10,610.87,2653586.0,619.0,623.98,605.06
2024-05-09,612.09,2065375.0,614.4,615.72,605.75
2024-05-08,609.47,3093904.0,601.63,618.22,601.63
2024-05-07,606.0,3614092.0,596.28,606.05,591.32
2024-05-06,596.97,3686337.0,581.82,597.34,580.25
2024-05-03,579.34,3307524.0,566.0,580.26,565.16
2024-05-02,565.15,3068228.0,556.02,565.46,555.59
2024-05-01,551.71,3473233.0,547.84,560.39,544.25
2024-04-30,550.64,3361492.0,560.0,560.0,549.375
2024-04-29,559.49,2508882.0,559.18,559.64,554.24
2024-04-26,561.23,4332593.0,558.21,562.92,553.19
2024-04-25,564.8,3807101.0,549.46,566.54,545.705
2024-04-24,555.12,5355312.0,574.31,576.907,551.3
2024-04-23,577.75,4975520.0,556.49,579.21,555.28
